name,city,cuisine,rating,review_text,review_date,lat,lon,zone,num_reviews,price_range,delivery_time,menu_item_popularity
Sushi Bay,Hyderabad,Cafe,2.8,Just an ordinary meal.,2024-09-27,17.3922401114695,78.47319864558469,Zone C,179,₹1200+,60,2
Cafe Bliss,Jaipur,Japanese,4.8,"Loved it, definitely coming back!",2024-12-07,26.92334851222978,75.76869177642001,Zone B,3083,₹200-₹400,51,56
Grill House,Mumbai,Mexican,2.4,"Very poor service, not happy.",2024-08-10,19.087456984807673,72.87361179831092,Zone C,1586,₹200-₹400,75,87
Royal Biryani,Pune,Italian,5.0,Amazing food and great service!,2024-07-29,18.53567083046094,73.83825325327217,Zone A,2640,₹1200+,51,75
Grill House,Hyderabad,Cafe,4.9,"Loved it, definitely coming back!",2023-07-18,17.400586059581833,78.50206012677313,Zone B,947,₹400-₹700,35,9
Royal Biryani,Bangalore,Japanese,3.3,"Average place, food was fine.",2023-04-24,12.953215598850175,77.605493558486,Zone C,3828,₹700-₹1200,46,95
Burger Town,Hyderabad,Italian,5.0,"Loved it, definitely coming back!",2023-04-09,17.394490893462233,78.49512693701516,Zone B,3751,₹1200+,45,9
Cafe Bliss,Bangalore,Fast Food,4.7,Delicious and fresh meals every time.,2023-08-09,12.960356393294,77.60890013564318,Zone A,1436,₹400-₹700,51,30
Pizza Hub,Jaipur,Mexican,5.0,"Highly recommended, worth the price.",2024-04-21,26.899151705586497,75.78290179012866,Zone A,4510,₹700-₹1200,52,39
Grill House,Bangalore,Japanese,3.6,"Decent experience, could be better.",2023-01-08,12.972517565515679,77.58272362864038,Zone B,3425,₹200-₹400,71,14
Pasta Point,Kolkata,Chinese,4.5,"Loved it, definitely coming back!",2024-10-07,22.56854183287905,88.3791213111391,Zone B,1324,₹1200+,49,80
Curry Corner,Bangalore,Italian,2.5,"Average place, food was fine.",2023-04-13,12.964661909058027,77.577128240313,Zone C,4222,₹400-₹700,27,66
Spice Villa,Hyderabad,Italian,3.4,Just an ordinary meal.,2023-10-26,17.377434131156352,78.50406281797763,Zone B,804,₹1200+,21,48
Curry Corner,Chennai,Indian,4.3,"Highly recommended, worth the price.",2024-10-04,13.078798776582685,80.28891871632509,Zone B,4920,₹400-₹700,36,48
Grill House,Delhi,Fast Food,5.0,"Highly recommended, worth the price.",2024-10-19,28.600590026929954,77.19140139475408,Zone A,3204,₹700-₹1200,60,63
Grill House,Jaipur,Mexican,3.0,"Decent experience, could be better.",2024-12-14,26.916489883059803,75.76816210641832,Zone B,1241,₹200-₹400,56,25
Spice Villa,Delhi,Italian,4.4,"Loved it, definitely coming back!",2023-01-19,28.59458575208841,77.189186844992,Zone B,3955,₹700-₹1200,25,32
Grill House,Hyderabad,Japanese,4.8,"Loved it, definitely coming back!",2024-08-20,17.392812553614274,78.50393103453406,Zone B,226,₹400-₹700,50,55
Grill House,Kolkata,Cafe,3.7,"Neutral taste, ambience was normal.",2023-02-28,22.585464363181732,88.3824873589963,Zone C,3388,₹1200+,32,59
Grill House,Jaipur,Chinese,4.6,Delicious and fresh meals every time.,2023-11-30,26.90002247777332,75.79180317734233,Zone A,2321,₹200-₹400,33,85
Curry Corner,Kolkata,Fast Food,2.7,Just an ordinary meal.,2023-03-22,22.562113249947004,88.37634578801475,Zone B,1069,₹700-₹1200,50,3
Pizza Hub,Mumbai,Chinese,5.0,"Highly recommended, worth the price.",2023-12-22,19.090671084076583,72.86414195863387,Zone A,3144,₹400-₹700,28,1
Burger Town,Delhi,Indian,3.4,"Decent experience, could be better.",2023-12-30,28.608010507342087,77.19288002948548,Zone C,1110,₹700-₹1200,31,43
Curry Corner,Bangalore,Mexican,5.0,Amazing food and great service!,2024-08-12,12.97761164133196,77.61409035188422,Zone B,4420,₹1200+,49,9
Cafe Bliss,Pune,Italian,3.8,"Average place, food was fine.",2023-11-11,18.51979994142976,73.87111320406031,Zone B,2883,₹400-₹700,57,32
Sushi Bay,Chennai,Italian,5.0,Fantastic taste and super friendly staff.,2024-08-18,13.068928263054355,80.2764732387582,Zone B,1132,₹400-₹700,32,55
Spice Villa,Mumbai,Mediterranean,3.0,"Neutral taste, ambience was normal.",2023-01-03,19.090616753108225,72.88115731593157,Zone C,4672,₹200-₹400,58,53
Taco Fiesta,Jaipur,Italian,4.0,Amazing food and great service!,2023-09-02,26.915832466991095,75.80358151550155,Zone C,2116,₹700-₹1200,73,12
Taco Fiesta,Pune,Italian,5.0,Fantastic taste and super friendly staff.,2023-11-27,18.539303279907713,73.86962705856375,Zone A,556,₹200-₹400,48,37
Burger Town,Kolkata,Japanese,4.8,"Loved it, definitely coming back!",2023-06-03,22.589716195885337,88.36048964549285,Zone B,1385,₹700-₹1200,71,35
Sushi Bay,Bangalore,Cafe,5.0,Amazing food and great service!,2024-04-18,12.967878588328757,77.59763230136303,Zone A,3742,₹400-₹700,40,36
Royal Biryani,Pune,Chinese,2.0,Not worth the money at all.,2024-06-07,18.539009943709946,73.86443803541862,Zone C,4559,₹1200+,54,68
Spice Villa,Delhi,Mediterranean,4.8,"Highly recommended, worth the price.",2024-11-14,28.605946590923363,77.19781058893561,Zone B,3728,₹400-₹700,35,37
Cafe Bliss,Hyderabad,Mediterranean,5.0,Amazing food and great service!,2024-12-13,17.382652491556403,78.50060362283995,Zone A,1401,₹1200+,59,90
Spice Villa,Jaipur,Chinese,5.0,Amazing food and great service!,2024-01-22,26.927598858297657,75.80681997667752,Zone A,797,₹700-₹1200,40,20
Cafe Bliss,Kolkata,Fast Food,5.0,"Loved it, definitely coming back!",2024-10-29,22.568358655439166,88.36998731634253,Zone B,3929,₹400-₹700,37,80
Curry Corner,Kolkata,Indian,5.0,"Loved it, definitely coming back!",2023-07-23,22.584823637367972,88.35409665290936,Zone B,672,₹1200+,67,57
Pizza Hub,Chennai,Indian,3.9,"It was okay, nothing special.",2023-01-21,13.07382162878862,80.26803869281578,Zone C,3574,₹700-₹1200,30,61
Royal Biryani,Chennai,Fast Food,2.9,"Decent experience, could be better.",2024-08-14,13.09483944467302,80.29068393205104,Zone B,1098,₹700-₹1200,26,4
Pizza Hub,Pune,Chinese,3.5,"Neutral taste, ambience was normal.",2024-04-25,18.532881556811788,73.84139412608971,Zone C,4929,₹1200+,37,74
Pizza Hub,Jaipur,Fast Food,5.0,Amazing food and great service!,2023-09-21,26.893217024728752,75.786723943386,Zone A,2249,₹200-₹400,40,45
Pasta Point,Delhi,Cafe,3.6,"Average place, food was fine.",2023-05-26,28.629791318027255,77.22837324033162,Zone C,2466,₹400-₹700,65,12
Grill House,Bangalore,Indian,5.0,"Loved it, definitely coming back!",2023-03-05,12.99035844797845,77.6093457621135,Zone C,4284,₹700-₹1200,71,90
Cafe Bliss,Kolkata,Mexican,4.3,"Highly recommended, worth the price.",2023-08-22,22.558508571722673,88.34549517670439,Zone B,4661,₹200-₹400,23,68
Royal Biryani,Kolkata,Indian,5.0,"Loved it, definitely coming back!",2024-11-01,22.5828832949016,88.35534960965684,Zone A,4737,₹1200+,60,91
Cafe Bliss,Delhi,Chinese,4.7,Amazing food and great service!,2024-08-05,28.61884546730647,77.19358498112378,Zone C,4215,₹200-₹400,52,25
Spice Villa,Jaipur,Mexican,5.0,"Loved it, definitely coming back!",2023-02-17,26.927189242299526,75.78774922131142,Zone A,4890,₹1200+,29,10
Royal Biryani,Delhi,Mediterranean,5.0,Fantastic taste and super friendly staff.,2024-10-30,28.62782442761327,77.22330538257546,Zone A,4082,₹1200+,46,79
Pizza Hub,Delhi,Fast Food,3.7,"It was okay, nothing special.",2024-05-25,28.622723466581377,77.22846558007333,Zone B,137,₹700-₹1200,47,35
Spice Villa,Jaipur,Japanese,3.7,"Decent experience, could be better.",2023-09-14,26.898549306391683,75.80271053550932,Zone C,2848,₹400-₹700,43,82
Pasta Point,Bangalore,Mediterranean,5.0,Delicious and fresh meals every time.,2023-09-17,12.952932962519121,77.58028890451384,Zone A,2467,₹400-₹700,46,20
Taco Fiesta,Pune,Chinese,3.5,"Decent experience, could be better.",2023-09-01,18.50973676429481,73.86374527657499,Zone C,4450,₹400-₹700,23,87
Burger Town,Kolkata,Japanese,3.9,"Neutral taste, ambience was normal.",2024-08-10,22.56600248963596,88.36926032136358,Zone B,3065,₹700-₹1200,59,66
Taco Fiesta,Delhi,Japanese,4.8,Delicious and fresh meals every time.,2023-01-15,28.604700630363574,77.19551485677937,Zone A,401,₹400-₹700,27,96
Pizza Hub,Delhi,Chinese,3.2,"Average place, food was fine.",2024-11-21,28.614304851357964,77.22239515077199,Zone C,2075,₹200-₹400,38,6
Grill House,Jaipur,Mediterranean,5.0,"Highly recommended, worth the price.",2023-09-26,26.92449273723521,75.78693721060327,Zone A,4846,₹200-₹400,45,20
Curry Corner,Hyderabad,Fast Food,3.8,"Decent experience, could be better.",2023-03-04,17.382252850234813,78.47164732454547,Zone C,4440,₹1200+,25,9
Taco Fiesta,Mumbai,Cafe,5.0,Amazing food and great service!,2024-10-10,19.094077439004913,72.87584730647208,Zone A,2741,₹400-₹700,74,46
Cafe Bliss,Jaipur,Cafe,4.9,Delicious and fresh meals every time.,2024-01-26,26.918321880098112,75.77616310869122,Zone B,2455,₹200-₹400,34,91
Pizza Hub,Pune,Mediterranean,4.4,Fantastic taste and super friendly staff.,2023-04-20,18.509982616305898,73.83762393554625,Zone C,2749,₹1200+,22,85
Pizza Hub,Delhi,Fast Food,4.0,"Loved it, definitely coming back!",2024-12-02,28.631484492283445,77.18916725160416,Zone C,3568,₹1200+,64,13
Pasta Point,Chennai,Indian,5.0,"Highly recommended, worth the price.",2023-09-22,13.063737785157326,80.28567811714609,Zone B,4256,₹700-₹1200,72,72
Pasta Point,Bangalore,Fast Food,2.1,Extremely disappointing experience.,2024-08-02,12.968735390663738,77.59174812915423,Zone C,4584,₹1200+,66,67
Spice Villa,Delhi,Mexican,4.5,Delicious and fresh meals every time.,2023-04-17,28.603228969423924,77.22426408084795,Zone B,1591,₹1200+,24,71
Pizza Hub,Kolkata,Cafe,3.1,"Average place, food was fine.",2023-10-29,22.580552177706426,88.3646986980605,Zone C,298,₹400-₹700,65,64
Grill House,Jaipur,Mediterranean,2.7,"Decent experience, could be better.",2023-11-07,26.92815084388665,75.78740283436483,Zone C,4371,₹400-₹700,26,25
Pasta Point,Jaipur,Indian,5.0,Delicious and fresh meals every time.,2024-06-13,26.90994647518261,75.78251014900476,Zone A,215,₹400-₹700,53,57
Pasta Point,Hyderabad,Cafe,5.0,Amazing food and great service!,2024-10-22,17.38537760320528,78.4810908793705,Zone B,1384,₹200-₹400,63,18
Cafe Bliss,Jaipur,Fast Food,3.6,"It was okay, nothing special.",2024-02-09,26.92455092518449,75.79482077797404,Zone C,3655,₹400-₹700,67,37
Pasta Point,Mumbai,Fast Food,5.0,Delicious and fresh meals every time.,2024-10-25,19.06835210728002,72.86053825812758,Zone B,3614,₹200-₹400,57,63
Spice Villa,Hyderabad,Mexican,4.4,Fantastic taste and super friendly staff.,2024-07-14,17.398045871387097,78.49705341500598,Zone B,1429,₹1200+,64,7
Royal Biryani,Pune,Italian,4.9,Delicious and fresh meals every time.,2024-03-26,18.521134955296546,73.86344606151484,Zone B,1799,₹400-₹700,21,29
Royal Biryani,Jaipur,Indian,4.3,Amazing food and great service!,2024-03-22,26.908301220805562,75.77650811238536,Zone C,3963,₹700-₹1200,26,24
Royal Biryani,Pune,Fast Food,4.8,Delicious and fresh meals every time.,2024-06-19,18.527837660425295,73.84323100186856,Zone B,1613,₹1200+,64,26
Cafe Bliss,Pune,Mediterranean,2.5,"Average place, food was fine.",2023-04-04,18.52056010218031,73.87499282097575,Zone C,3340,₹1200+,52,97
Pasta Point,Delhi,Fast Food,3.8,"It was okay, nothing special.",2023-07-13,28.60599575513758,77.22072275622753,Zone B,118,₹700-₹1200,20,92
Burger Town,Mumbai,Mexican,5.0,"Highly recommended, worth the price.",2024-10-11,19.095820548814853,72.89440856592584,Zone B,2441,₹700-₹1200,73,97
Royal Biryani,Mumbai,Italian,5.0,Delicious and fresh meals every time.,2023-11-30,19.087608438263572,72.89588700539677,Zone B,614,₹1200+,47,59
Curry Corner,Jaipur,Mexican,5.0,Amazing food and great service!,2023-02-25,26.92099548544073,75.78470084612684,Zone A,2301,₹1200+,47,50
Cafe Bliss,Pune,Fast Food,3.8,Just an ordinary meal.,2023-12-08,18.5031795755692,73.86391733174591,Zone C,4710,₹400-₹700,28,39
Cafe Bliss,Bangalore,Indian,5.0,Fantastic taste and super friendly staff.,2024-03-19,12.961147037259767,77.5819069855277,Zone A,1264,₹700-₹1200,35,69
Taco Fiesta,Mumbai,Mediterranean,5.0,Amazing food and great service!,2024-12-27,19.08657512962216,72.88974881430018,Zone A,2503,₹700-₹1200,44,81
Royal Biryani,Mumbai,Fast Food,4.6,"Loved it, definitely coming back!",2023-08-18,19.081796934821572,72.88026940311468,Zone B,716,₹1200+,51,19
Taco Fiesta,Jaipur,Indian,4.3,"Loved it, definitely coming back!",2023-11-20,26.908337427733375,75.79622131581758,Zone B,913,₹200-₹400,43,46
Grill House,Kolkata,Indian,5.0,"Highly recommended, worth the price.",2023-09-20,22.585288320572214,88.34685002555477,Zone A,4012,₹1200+,74,52
Pizza Hub,Pune,Mexican,5.0,"Loved it, definitely coming back!",2023-11-22,18.506583257142434,73.83962588823655,Zone A,1091,₹700-₹1200,51,97
Taco Fiesta,Pune,Mediterranean,4.9,Delicious and fresh meals every time.,2023-05-18,18.52177767138765,73.85483650826494,Zone A,3895,₹1200+,56,46
Grill House,Hyderabad,Fast Food,4.1,Amazing food and great service!,2023-11-06,17.372663595752336,78.48578699639023,Zone A,3385,₹400-₹700,41,81
Taco Fiesta,Kolkata,Mediterranean,3.1,"Neutral taste, ambience was normal.",2023-12-18,22.59117975285167,88.37179174874859,Zone C,2176,₹700-₹1200,55,64
Pasta Point,Mumbai,Indian,3.2,"Decent experience, could be better.",2024-09-18,19.092032901555616,72.89102788245788,Zone C,2126,₹200-₹400,60,72
Spice Villa,Chennai,Cafe,4.0,"Loved it, definitely coming back!",2023-07-04,13.077813079610884,80.26790335448916,Zone C,3366,₹700-₹1200,64,61
Burger Town,Mumbai,Fast Food,4.4,"Loved it, definitely coming back!",2024-08-21,19.058991802892145,72.87640816472211,Zone B,1635,₹700-₹1200,51,6
Sushi Bay,Mumbai,Fast Food,4.6,"Loved it, definitely coming back!",2023-04-16,19.061144996088277,72.88076872059301,Zone A,307,₹200-₹400,43,53
Taco Fiesta,Chennai,Japanese,3.3,"Neutral taste, ambience was normal.",2023-12-18,13.091678339977332,80.26024948023418,Zone C,2254,₹700-₹1200,51,51
Taco Fiesta,Kolkata,Fast Food,5.0,Amazing food and great service!,2023-07-23,22.57578287448838,88.3595608034933,Zone A,2705,₹1200+,47,82
Pasta Point,Kolkata,Chinese,5.0,"Loved it, definitely coming back!",2024-11-13,22.58926600477676,88.3817769409124,Zone A,3829,₹200-₹400,75,43
Cafe Bliss,Pune,Cafe,3.6,"It was okay, nothing special.",2023-03-03,18.503476820109995,73.8419561289447,Zone C,4928,₹700-₹1200,33,81
Pizza Hub,Bangalore,Indian,3.4,Just an ordinary meal.,2023-02-06,12.983231726524483,77.61113158592072,Zone C,1358,₹1200+,36,77
Sushi Bay,Bangalore,Japanese,4.7,"Loved it, definitely coming back!",2024-11-13,12.953002033636832,77.59799719055857,Zone B,2858,₹700-₹1200,24,89
Pizza Hub,Pune,Mexican,4.1,Amazing food and great service!,2023-04-30,18.501335016517924,73.86314545033314,Zone B,4448,₹700-₹1200,34,25
Burger Town,Delhi,Fast Food,4.6,Amazing food and great service!,2023-12-19,28.597575113593475,77.2005739348483,Zone B,2768,₹200-₹400,30,32
Burger Town,Chennai,Italian,5.0,Delicious and fresh meals every time.,2023-08-04,13.081645299909878,80.26200932955545,Zone B,3967,₹400-₹700,41,70
Curry Corner,Chennai,Mediterranean,3.4,Just an ordinary meal.,2024-02-12,13.07567366419006,80.25853589959878,Zone C,2180,₹1200+,41,26
Spice Villa,Pune,Indian,2.6,"Neutral taste, ambience was normal.",2024-06-02,18.523135334894786,73.86207643499817,Zone C,1912,₹700-₹1200,59,74
Grill House,Bangalore,Mexican,3.1,"Decent experience, could be better.",2023-09-18,12.986815810495933,77.59343542517051,Zone C,929,₹1200+,50,12
Spice Villa,Bangalore,Fast Food,4.5,"Loved it, definitely coming back!",2024-08-08,12.952210586011581,77.58390411538814,Zone C,206,₹200-₹400,29,95
Spice Villa,Pune,Fast Food,5.0,Amazing food and great service!,2023-01-16,18.521637672524424,73.83955203498454,Zone A,3266,₹700-₹1200,30,64
Taco Fiesta,Pune,Fast Food,3.5,"It was okay, nothing special.",2024-04-04,18.529309018134402,73.8686578694803,Zone C,4991,₹200-₹400,48,15
Taco Fiesta,Hyderabad,Cafe,5.0,"Highly recommended, worth the price.",2023-11-14,17.392481097378614,78.49957363989915,Zone A,2532,₹200-₹400,63,9
Grill House,Mumbai,Indian,5.0,Delicious and fresh meals every time.,2023-01-31,19.07832999201759,72.86721550612789,Zone A,1407,₹400-₹700,44,41
Burger Town,Mumbai,Cafe,4.2,Amazing food and great service!,2023-08-05,19.081392033490435,72.86776467026627,Zone B,564,₹200-₹400,23,69
Pizza Hub,Hyderabad,Mexican,4.4,Delicious and fresh meals every time.,2024-01-31,17.373311967857546,78.46693315110328,Zone B,4552,₹1200+,66,50
Pasta Point,Hyderabad,Fast Food,4.9,"Loved it, definitely coming back!",2023-01-16,17.366461386878303,78.50086537979959,Zone A,2171,₹700-₹1200,65,19
Curry Corner,Jaipur,Mexican,4.4,Amazing food and great service!,2023-11-01,26.905520023086805,75.80495049548342,Zone B,2375,₹1200+,58,90
Cafe Bliss,Bangalore,Cafe,2.9,"It was okay, nothing special.",2023-12-11,12.969174392273287,77.59333523176628,Zone C,3653,₹1200+,24,82
Sushi Bay,Chennai,Chinese,4.3,"Loved it, definitely coming back!",2023-01-17,13.091805523678085,80.27390598900494,Zone A,3847,₹1200+,45,60
Royal Biryani,Delhi,Cafe,3.1,"Neutral taste, ambience was normal.",2024-10-29,28.63251065376296,77.20327381673563,Zone C,470,₹1200+,65,35
Grill House,Pune,Chinese,3.7,Just an ordinary meal.,2024-10-03,18.502217971385765,73.86324536284096,Zone C,3990,₹400-₹700,46,83
Spice Villa,Kolkata,Mexican,4.6,Fantastic taste and super friendly staff.,2024-08-06,22.590139673186254,88.3478076109143,Zone B,2687,₹1200+,45,47
Burger Town,Hyderabad,Italian,4.8,"Loved it, definitely coming back!",2024-08-12,17.372236029579923,78.50551266023702,Zone B,4276,₹1200+,38,19
Grill House,Hyderabad,Indian,5.0,Delicious and fresh meals every time.,2024-11-05,17.39145484325912,78.50632777044714,Zone A,4791,₹200-₹400,28,36
Royal Biryani,Hyderabad,Italian,5.0,Fantastic taste and super friendly staff.,2024-02-07,17.391800902461412,78.4960621909877,Zone B,550,₹1200+,38,74
Grill House,Pune,Cafe,3.1,"Decent experience, could be better.",2023-09-29,18.525145863253787,73.85649384116549,Zone B,1904,₹1200+,56,40
Curry Corner,Mumbai,Japanese,4.8,Amazing food and great service!,2023-09-27,19.065912361408806,72.8776051803503,Zone B,1980,₹200-₹400,36,70
Grill House,Delhi,Chinese,2.0,"Very poor service, not happy.",2024-09-15,28.6147143873083,77.1942923507828,Zone C,1464,₹700-₹1200,33,59
Burger Town,Pune,Fast Food,4.0,Amazing food and great service!,2023-07-10,18.504887717871668,73.86627951368206,Zone B,2741,₹1200+,49,14
Curry Corner,Delhi,Chinese,5.0,Fantastic taste and super friendly staff.,2023-01-24,28.624447268359926,77.21872925729392,Zone A,11,₹700-₹1200,44,20
Burger Town,Bangalore,Fast Food,2.7,"Average place, food was fine.",2024-09-03,12.956675268648487,77.59660055578568,Zone C,2353,₹1200+,61,87
Spice Villa,Jaipur,Mediterranean,3.1,"Neutral taste, ambience was normal.",2024-11-01,26.92225248201225,75.7787523060004,Zone C,2986,₹400-₹700,29,16
Cafe Bliss,Bangalore,Mexican,4.4,Delicious and fresh meals every time.,2023-11-24,12.960507463482848,77.6124626694722,Zone A,4729,₹1200+,51,86
Royal Biryani,Pune,Mexican,3.7,"It was okay, nothing special.",2023-10-17,18.528424423317574,73.86952060278486,Zone C,3773,₹400-₹700,45,20
Royal Biryani,Bangalore,Mexican,2.4,Food was cold and tasteless.,2023-08-06,12.955890345464866,77.59879013753027,Zone C,4185,₹200-₹400,20,55
Royal Biryani,Hyderabad,Indian,2.9,"Neutral taste, ambience was normal.",2024-04-09,17.393188117510118,78.50057055955884,Zone B,2409,₹700-₹1200,73,71
Taco Fiesta,Kolkata,Japanese,4.3,Delicious and fresh meals every time.,2024-06-19,22.579427474945756,88.36072917007019,Zone B,1672,₹700-₹1200,26,98
Curry Corner,Chennai,Indian,2.9,"Average place, food was fine.",2023-06-07,13.08579363560424,80.27310291021506,Zone C,687,₹200-₹400,64,69
Sushi Bay,Delhi,Fast Food,3.6,Just an ordinary meal.,2024-01-16,28.604876845320447,77.2069019401128,Zone B,4365,₹700-₹1200,60,7
Sushi Bay,Hyderabad,Chinese,5.0,"Loved it, definitely coming back!",2024-05-20,17.37580358508622,78.48672770374584,Zone A,1827,₹1200+,58,82
Sushi Bay,Bangalore,Indian,5.0,Delicious and fresh meals every time.,2024-01-24,12.954495154976026,77.59656028349548,Zone B,2931,₹1200+,21,95
Pasta Point,Pune,Fast Food,4.0,Fantastic taste and super friendly staff.,2024-10-10,18.514739095302033,73.85997875725931,Zone C,1282,₹200-₹400,72,91
Pizza Hub,Pune,Fast Food,4.0,"Highly recommended, worth the price.",2024-05-24,18.529553420511878,73.86453449832288,Zone B,3342,₹200-₹400,49,93
Curry Corner,Kolkata,Indian,4.5,Delicious and fresh meals every time.,2023-01-01,22.586450264729784,88.3826567769437,Zone B,1883,₹400-₹700,43,64
Spice Villa,Pune,Mediterranean,4.7,Delicious and fresh meals every time.,2023-12-29,18.52966031677005,73.84445543221435,Zone A,112,₹1200+,70,13
Grill House,Mumbai,Mediterranean,5.0,Delicious and fresh meals every time.,2024-07-27,19.064134259174125,72.86144280135841,Zone B,2721,₹1200+,34,52
Curry Corner,Bangalore,Fast Food,5.0,Fantastic taste and super friendly staff.,2024-01-09,12.981614359990983,77.58332321370187,Zone A,19,₹1200+,32,79
Taco Fiesta,Mumbai,Cafe,3.8,"Average place, food was fine.",2023-02-11,19.08064075706444,72.89750565950148,Zone B,3575,₹400-₹700,40,19
Burger Town,Bangalore,Italian,3.6,"Neutral taste, ambience was normal.",2024-01-13,12.96609371510632,77.6114991661264,Zone C,3677,₹700-₹1200,33,35
Pasta Point,Mumbai,Mediterranean,5.0,"Loved it, definitely coming back!",2024-01-16,19.057535861265364,72.8898891209671,Zone A,2003,₹200-₹400,24,59
Cafe Bliss,Pune,Mexican,4.6,"Highly recommended, worth the price.",2023-09-23,18.52699409243038,73.86246036822962,Zone A,4643,₹200-₹400,60,29
Sushi Bay,Kolkata,Japanese,5.0,Amazing food and great service!,2024-07-22,22.570245331385546,88.34704478277193,Zone A,97,₹200-₹400,59,67
Royal Biryani,Pune,Mexican,4.1,"Loved it, definitely coming back!",2024-02-19,18.521930692057932,73.84931045216216,Zone B,2477,₹1200+,57,81
Taco Fiesta,Chennai,Fast Food,5.0,Fantastic taste and super friendly staff.,2024-12-19,13.093820330892516,80.26528330423204,Zone B,2642,₹400-₹700,27,59
Cafe Bliss,Hyderabad,Chinese,5.0,Delicious and fresh meals every time.,2024-06-30,17.38269211529877,78.4762524360661,Zone A,399,₹200-₹400,37,7
Sushi Bay,Mumbai,Chinese,5.0,Fantastic taste and super friendly staff.,2023-05-30,19.06825205744749,72.88278297356061,Zone A,4843,₹1200+,74,51
Taco Fiesta,Kolkata,Italian,3.3,Just an ordinary meal.,2024-12-07,22.575649365388763,88.37937938012557,Zone C,4385,₹1200+,37,52
Spice Villa,Bangalore,Mediterranean,4.7,Fantastic taste and super friendly staff.,2024-02-25,12.98836482353555,77.61227353420331,Zone B,2113,₹1200+,44,67
Pasta Point,Pune,Mexican,5.0,Fantastic taste and super friendly staff.,2023-07-28,18.508200081968813,73.84076991688512,Zone A,1418,₹400-₹700,34,52
Grill House,Bangalore,Italian,2.5,"Average place, food was fine.",2024-01-12,12.956777804082373,77.57627059443044,Zone C,843,₹200-₹400,48,98
Spice Villa,Jaipur,Fast Food,3.3,Just an ordinary meal.,2024-06-20,26.90544533150202,75.7873596969055,Zone C,1958,₹400-₹700,75,84
Cafe Bliss,Kolkata,Italian,4.7,"Highly recommended, worth the price.",2023-07-23,22.554481732237548,88.35396178156759,Zone A,3187,₹400-₹700,30,60
Cafe Bliss,Chennai,Japanese,2.6,"It was okay, nothing special.",2023-09-11,13.097395270859932,80.27130241489584,Zone C,3589,₹400-₹700,27,13
Burger Town,Bangalore,Italian,4.3,"Loved it, definitely coming back!",2024-09-16,12.987192543358782,77.5842765610774,Zone C,4427,₹1200+,29,47
Pasta Point,Kolkata,Chinese,5.0,Delicious and fresh meals every time.,2023-09-11,22.559307126797833,88.3538185666899,Zone A,1939,₹400-₹700,51,70
Spice Villa,Delhi,Fast Food,3.7,"Average place, food was fine.",2024-06-19,28.596170659555284,77.22498142794792,Zone C,2182,₹200-₹400,57,77
Taco Fiesta,Delhi,Cafe,4.3,"Loved it, definitely coming back!",2024-07-28,28.612585196871255,77.20692146709725,Zone B,2885,₹400-₹700,29,89
Taco Fiesta,Mumbai,Japanese,4.5,"Highly recommended, worth the price.",2024-12-24,19.078729650670766,72.85866845082896,Zone B,2658,₹1200+,59,29
Pizza Hub,Pune,Cafe,3.2,Just an ordinary meal.,2023-11-22,18.519625899297715,73.86820417204909,Zone C,1882,₹400-₹700,45,36
Spice Villa,Kolkata,Cafe,3.8,"It was okay, nothing special.",2024-09-17,22.574644017079606,88.34790317882288,Zone B,287,₹1200+,72,17
Burger Town,Pune,Chinese,3.0,Just an ordinary meal.,2023-05-01,18.517685343925965,73.84399217181743,Zone C,59,₹400-₹700,29,29
Grill House,Chennai,Italian,5.0,"Loved it, definitely coming back!",2023-04-22,13.077455542366176,80.27042743833728,Zone A,1876,₹200-₹400,27,12
Taco Fiesta,Pune,Chinese,4.0,Fantastic taste and super friendly staff.,2024-02-22,18.505341540879357,73.8683738090439,Zone A,3008,₹1200+,21,93
Spice Villa,Jaipur,Italian,4.9,Amazing food and great service!,2024-02-02,26.905711235416792,75.77254096682043,Zone A,3009,₹1200+,57,24
Sushi Bay,Jaipur,Chinese,3.9,Just an ordinary meal.,2024-02-26,26.92247139288023,75.78003167703484,Zone C,4008,₹700-₹1200,28,18
Burger Town,Pune,Cafe,3.5,"Decent experience, could be better.",2023-07-04,18.528447612868572,73.87495526729187,Zone C,4342,₹700-₹1200,71,19
Pasta Point,Chennai,Mexican,4.2,"Loved it, definitely coming back!",2023-07-02,13.075960053718667,80.28501022758599,Zone B,937,₹200-₹400,55,16
Pizza Hub,Bangalore,Mediterranean,5.0,Amazing food and great service!,2024-09-12,12.98820887182249,77.5782808203929,Zone A,2577,₹200-₹400,37,63
Curry Corner,Delhi,Mexican,4.8,"Loved it, definitely coming back!",2024-03-27,28.60596572677441,77.21123984642882,Zone B,417,₹400-₹700,67,94
Pasta Point,Hyderabad,Chinese,4.5,"Loved it, definitely coming back!",2024-02-24,17.382653731232207,78.49130671754328,Zone B,890,₹400-₹700,38,57
Pasta Point,Chennai,Cafe,5.0,Amazing food and great service!,2023-07-26,13.09126502097472,80.26205907459499,Zone A,2612,₹400-₹700,37,20
Spice Villa,Chennai,Cafe,5.0,"Highly recommended, worth the price.",2024-06-21,13.095800786296376,80.28644498476166,Zone A,1117,₹1200+,35,19
Cafe Bliss,Bangalore,Mexican,2.7,"Decent experience, could be better.",2024-05-12,12.98258679592077,77.57844919497646,Zone C,3247,₹1200+,32,94
